date,value,drought_score
20141112,0.18,-0.2611811173669661
20141113,0.0,-0.30323418426930443
20141114,0.0,-0.30323418426930443
20141115,1.47,0.04019919543312577
20141116,2.34,0.24345568546109464
20141117,0.0,-0.30323418426930443
20141118,0.0,-0.30323418426930443
20141119,0.0,-0.30323418426930443
20141120,0.0,-0.30323418426930443
20141121,0.0,-0.30323418426930443
20141122,0.64,-0.1537121686165457
20141123,0.0,-0.30323418426930443
20141124,0.0,-0.30323418426930443
20141125,0.0,-0.30323418426930443
20141126,0.0,-0.30323418426930443
20141127,0.08,-0.2845439323127096
20141128,0.0,-0.30323418426930443
20141129,0.0,-0.30323418426930443
20141130,0.0,-0.30323418426930443
20141201,0.14,-0.27052624334526343
20141202,1.92,0.14533186268897175
20141203,2.64,0.31354413029832534
20141204,5.86,1.0658267715512677
20141205,5.08,0.8835968149744681
20141206,8.82,1.7573660939452769
20141207,17.73,3.838992905611027
20141208,0.29,-0.23548202092664813
20141209,0.0,-0.30323418426930443
20141210,0.14,-0.27052624334526343
20141211,4.03,0.6382872580441608
20141212,0.04,-0.29388905829100703
20141213,0.12,-0.2751988063344121
20141214,0.06,-0.2892164953018583
20141215,0.0,-0.30323418426930443
20141216,0.07,-0.28688021380728396
20141217,0.11,-0.2775350878289865
20141218,0.1,-0.2798713693235609
20141219,0.06,-0.2892164953018583
20141220,0.09,-0.2822076508181352
20141221,0.25,-0.24482714690494556
20141222,0.01,-0.3008979027747301
20141223,0.0,-0.30323418426930443
20141224,0.01,-0.3008979027747301
20141225,0.04,-0.29388905829100703
20141226,2.38,0.2528008114393921
20141227,0.0,-0.30323418426930443
20141228,0.0,-0.30323418426930443
20141229,0.0,-0.30323418426930443
20141230,0.0,-0.30323418426930443
20141231,0.01,-0.3008979027747301
20150101,0.0,-0.30323418426930443
20150102,0.0,-0.30323418426930443
20150103,0.0,-0.30323418426930443
20150104,0.0,-0.30323418426930443
20150105,0.0,-0.30323418426930443
20150106,0.0,-0.30323418426930443
20150107,0.0,-0.30323418426930443
20150108,2.94,0.383632575135556
20150109,0.31,-0.2308094579374994
20150110,0.34,-0.22380061345377633
20150111,5.08,0.8835968149744681
20150112,1.63,0.07757969934631544
20150113,4.02,0.6359509765495862
20150114,0.88,-0.09764141274676118
20150115,3.18,0.43970333100534054
20150116,0.35,-0.221464331959202
20150117,0.0,-0.30323418426930443
20150118,0.0,-0.30323418426930443
20150119,0.0,-0.30323418426930443
20150120,0.0,-0.30323418426930443
20150121,0.12,-0.2751988063344121
20150122,0.11,-0.2775350878289865
20150123,0.27,-0.24015458391579683
20150124,7.21,1.3812247733188057
20150125,4.96,0.8555614370395758
20150126,5.69,1.0261099861435037
20150127,0.79,-0.11866794619793038
20150128,1.48,0.04253547692770013
20150129,3.59,0.535490872282889
20150130,8.88,1.7713837829127232
20150131,3.9,0.607915598614694
20150201,0.03,-0.29622533978558135
20150202,0.0,-0.30323418426930443
20150203,0.0,-0.30323418426930443
20150204,0.0,-0.30323418426930443
20150205,0.0,-0.30323418426930443
20150206,0.0,-0.30323418426930443
20150207,0.0,-0.30323418426930443
20150208,0.0,-0.30323418426930443
20150209,0.0,-0.30323418426930443
20150210,0.0,-0.30323418426930443
20150211,0.87,-0.09997769424133554
20150212,0.28,-0.23781830242122248
20150213,0.33,-0.2261368949483507
20150214,0.0,-0.30323418426930443
20150215,0.0,-0.30323418426930443
20150216,0.0,-0.30323418426930443
20150217,0.16,-0.2658536803561148
20150218,0.08,-0.2845439323127096
20150219,0.0,-0.30323418426930443
20150220,1.14,-0.03689809388782797
20150221,5.47,0.9747117932628678
20150222,2.91,0.37662373065183297
20150223,2.69,0.3252255377711971
20150224,2.18,0.20607518154790502
20150225,0.42,-0.20511036149718154
20150226,0.0,-0.30323418426930443
20150227,0.0,-0.30323418426930443
20150228,0.0,-0.30323418426930443
20150301,2.83,0.3579334786952381
20150302,0.65,-0.15137588712197134
20150303,5.46,0.9723755117682935
20150304,5.48,0.9770480747574423
20150305,18.82,4.093647588519633
20150306,14.36,3.0516660419394697
20150307,8.43,1.666251115656877
20150308,4.67,0.7878092736969194
