date,indicator,value,source,category,year,month,quarter
2000-02-19,RAINFALL,3.01,NASA,Climate,2000,2,1
2000-02-19,TEMPERATURE,17.23,NASA,Climate,2000,2,1
2000-02-20,DROUGHT_SCORE,2.0213659028321787,Derived,Climate,2000,2,1
2000-02-20,RAINFALL,9.95,NASA,Climate,2000,2,1
2000-02-20,TEMPERATURE,19.25,NASA,Climate,2000,2,1
2000-02-21,DROUGHT_SCORE,1.4793485960909285,Derived,Climate,2000,2,1
2000-02-21,RAINFALL,7.63,NASA,Climate,2000,2,1
2000-02-21,TEMPERATURE,19.4,NASA,Climate,2000,2,1
2000-02-22,DROUGHT_SCORE,0.3742874491572585,Derived,Climate,2000,2,1
2000-02-22,RAINFALL,2.9,NASA,Climate,2000,2,1
2000-02-22,TEMPERATURE,21.27,NASA,Climate,2000,2,1
2000-02-23,DROUGHT_SCORE,-0.0625971903281458,Derived,Climate,2000,2,1
2000-02-23,RAINFALL,1.03,NASA,Climate,2000,2,1
2000-02-23,TEMPERATURE,21.17,NASA,Climate,2000,2,1
2000-02-24,DROUGHT_SCORE,0.0612257288842949,Derived,Climate,2000,2,1
2000-02-24,RAINFALL,1.56,NASA,Climate,2000,2,1
2000-02-24,TEMPERATURE,21.86,NASA,Climate,2000,2,1
2000-02-25,DROUGHT_SCORE,-0.254172272883243,Derived,Climate,2000,2,1
2000-02-25,RAINFALL,0.21,NASA,Climate,2000,2,1
2000-02-25,TEMPERATURE,22.13,NASA,Climate,2000,2,1
2000-02-26,DROUGHT_SCORE,0.0331903509494026,Derived,Climate,2000,2,1
2000-02-26,RAINFALL,1.44,NASA,Climate,2000,2,1
2000-02-26,TEMPERATURE,21.22,NASA,Climate,2000,2,1
2000-02-27,DROUGHT_SCORE,5.24076180235564,Derived,Climate,2000,2,1
2000-02-27,RAINFALL,23.73,NASA,Climate,2000,2,1
2000-02-27,TEMPERATURE,19.8,NASA,Climate,2000,2,1
2000-02-28,DROUGHT_SCORE,1.745684686472405,Derived,Climate,2000,2,1
2000-02-28,RAINFALL,8.77,NASA,Climate,2000,2,1
2000-02-28,TEMPERATURE,18.67,NASA,Climate,2000,2,1
2000-02-29,DROUGHT_SCORE,0.6546412285061811,Derived,Climate,2000,2,1
2000-02-29,RAINFALL,4.1,NASA,Climate,2000,2,1
2000-02-29,TEMPERATURE,16.48,NASA,Climate,2000,2,1
2000-03-01,DROUGHT_SCORE,0.7294022363325605,Derived,Climate,2000,3,1
2000-03-01,RAINFALL,4.42,NASA,Climate,2000,3,1
2000-03-01,TEMPERATURE,17.93,NASA,Climate,2000,3,1
2000-03-02,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-02,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-02,TEMPERATURE,18.5,NASA,Climate,2000,3,1
2000-03-03,DROUGHT_SCORE,0.0472080399168488,Derived,Climate,2000,3,1
2000-03-03,RAINFALL,1.5,NASA,Climate,2000,3,1
2000-03-03,TEMPERATURE,20.35,NASA,Climate,2000,3,1
2000-03-04,DROUGHT_SCORE,0.4140042345650225,Derived,Climate,2000,3,1
2000-03-04,RAINFALL,3.07,NASA,Climate,2000,3,1
2000-03-04,TEMPERATURE,21.17,NASA,Climate,2000,3,1
2000-03-05,DROUGHT_SCORE,0.0705708548625924,Derived,Climate,2000,3,1
2000-03-05,RAINFALL,1.6,NASA,Climate,2000,3,1
2000-03-05,TEMPERATURE,21.84,NASA,Climate,2000,3,1
2000-03-06,DROUGHT_SCORE,0.2598096559231152,Derived,Climate,2000,3,1
2000-03-06,RAINFALL,2.41,NASA,Climate,2000,3,1
2000-03-06,TEMPERATURE,21.48,NASA,Climate,2000,3,1
2000-03-07,DROUGHT_SCORE,-0.2915527767964326,Derived,Climate,2000,3,1
2000-03-07,RAINFALL,0.05,NASA,Climate,2000,3,1
2000-03-07,TEMPERATURE,22.33,NASA,Climate,2000,3,1
2000-03-08,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-08,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-08,TEMPERATURE,22.32,NASA,Climate,2000,3,1
2000-03-09,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-09,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-09,TEMPERATURE,21.42,NASA,Climate,2000,3,1
2000-03-10,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-10,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-10,TEMPERATURE,21.54,NASA,Climate,2000,3,1
2000-03-11,DROUGHT_SCORE,-0.3008979027747301,Derived,Climate,2000,3,1
2000-03-11,RAINFALL,0.01,NASA,Climate,2000,3,1
2000-03-11,TEMPERATURE,21.64,NASA,Climate,2000,3,1
2000-03-12,DROUGHT_SCORE,-0.0485795013606997,Derived,Climate,2000,3,1
2000-03-12,RAINFALL,1.09,NASA,Climate,2000,3,1
2000-03-12,TEMPERATURE,21.77,NASA,Climate,2000,3,1
2000-03-13,DROUGHT_SCORE,-0.1630572945948431,Derived,Climate,2000,3,1
2000-03-13,RAINFALL,0.6,NASA,Climate,2000,3,1
2000-03-13,TEMPERATURE,21.83,NASA,Climate,2000,3,1
2000-03-14,DROUGHT_SCORE,-0.2985616212801557,Derived,Climate,2000,3,1
2000-03-14,RAINFALL,0.02,NASA,Climate,2000,3,1
2000-03-14,TEMPERATURE,22.14,NASA,Climate,2000,3,1
2000-03-15,DROUGHT_SCORE,-0.1443670426382482,Derived,Climate,2000,3,1
2000-03-15,RAINFALL,0.68,NASA,Climate,2000,3,1
2000-03-15,TEMPERATURE,20.75,NASA,Climate,2000,3,1
2000-03-16,DROUGHT_SCORE,-0.1724024205731405,Derived,Climate,2000,3,1
2000-03-16,RAINFALL,0.56,NASA,Climate,2000,3,1
2000-03-16,TEMPERATURE,18.92,NASA,Climate,2000,3,1
2000-03-17,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-17,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-17,TEMPERATURE,18.83,NASA,Climate,2000,3,1
2000-03-18,DROUGHT_SCORE,-0.3032341842693044,Derived,Climate,2000,3,1
2000-03-18,RAINFALL,0.0,NASA,Climate,2000,3,1
2000-03-18,TEMPERATURE,20.06,NASA,Climate,2000,3,1
2000-03-19,DROUGHT_SCORE,-0.2588448358723917,Derived,Climate,2000,3,1
2000-03-19,RAINFALL,0.19,NASA,Climate,2000,3,1
2000-03-19,TEMPERATURE,21.4,NASA,Climate,2000,3,1
2000-03-20,DROUGHT_SCORE,0.9209773188876578,Derived,Climate,2000,3,1
2000-03-20,RAINFALL,5.24,NASA,Climate,2000,3,1
2000-03-20,TEMPERATURE,21.2,NASA,Climate,2000,3,1
2000-03-21,DROUGHT_SCORE,-0.1770749835622892,Derived,Climate,2000,3,1
2000-03-21,RAINFALL,0.54,NASA,Climate,2000,3,1
2000-03-21,TEMPERATURE,21.21,NASA,Climate,2000,3,1
2000-03-22,DROUGHT_SCORE,5.556159804123179,Derived,Climate,2000,3,1
2000-03-22,RAINFALL,25.08,NASA,Climate,2000,3,1
2000-03-22,TEMPERATURE,19.31,NASA,Climate,2000,3,1
2000-03-23,DROUGHT_SCORE,1.2620744170955136,Derived,Climate,2000,3,1
2000-03-23,RAINFALL,6.7,NASA,Climate,2000,3,1
2000-03-23,TEMPERATURE,19.78,NASA,Climate,2000,3,1
2000-03-24,DROUGHT_SCORE,2.6264628099269367,Derived,Climate,2000,3,1
2000-03-24,RAINFALL,12.54,NASA,Climate,2000,3,1
2000-03-24,TEMPERATURE,18.95,NASA,Climate,2000,3,1
